Date,Price,Return
04/01/2020,"114,73",
05/01/2020,"116,87","0,02"
06/01/2020,"117,37","0,00"
07/01/2020,"118,05","0,01"
09/01/2020,"118,42","0,00"
10/01/2020,"118,02","0,00"
12/01/2020,"117,84","0,00"
03/02/2020,"115,94","-0,02"
04/02/2020,"114,90","-0,01"
05/02/2020,"116,87","0,02"
06/02/2020,"117,47","0,01"
07/02/2020,"118,19","0,01"
08/02/2020,"119,56","0,01"
09/02/2020,"118,66","-0,01"
10/02/2020,"117,90","-0,01"
11/02/2020,"117,22","-0,01"
12/02/2020,"117,71","0,00"
02/03/2020,"114,37","-0,03"
03/03/2020,"116,73","0,02"
04/03/2020,"114,98","-0,01"
05/03/2020,"116,87","0,02"
06/03/2020,"117,18","0,00"
08/03/2020,"119,40","0,02"
09/03/2020,"118,69","-0,01"
10/03/2020,"117,90","-0,01"
11/03/2020,"117,17","-0,01"
12/03/2020,"117,91","0,01"
02/04/2020,"113,99","-0,03"
03/04/2020,"116,64","0,02"
05/04/2020,"116,97","0,00"
06/04/2020,"116,83","0,00"
07/04/2020,"118,19","0,01"
08/04/2020,"119,63","0,01"
09/04/2020,"118,10","-0,01"
10/04/2020,"117,90","0,00"
11/04/2020,"117,95","0,00"
12/04/2020,"117,59","0,00"
02/05/2020,"113,82","-0,03"
03/05/2020,"117,00","0,03"
05/05/2020,"116,88","0,00"
06/05/2020,"116,90","0,00"
07/05/2020,"118,19","0,01"
08/05/2020,"119,40","0,01"
10/05/2020,"117,52","-0,02"
11/05/2020,"118,06","0,00"
01/06/2020,"112,92","-0,04"
02/06/2020,"113,89","0,01"
03/06/2020,"117,86","0,03"
04/06/2020,"115,54","-0,02"
05/06/2020,"116,41","0,01"
07/06/2020,"118,18","0,02"
08/06/2020,"119,57","0,01"
10/06/2020,"117,62","-0,02"
11/06/2020,"117,80","0,00"
01/07/2020,"112,80","-0,04"
02/07/2020,"114,22","0,01"
04/07/2020,"115,70","0,01"
05/07/2020,"116,77","0,01"
06/07/2020,"116,90","0,00"
07/07/2020,"118,36","0,01"
08/07/2020,"119,43","0,01"
10/07/2020,"117,54","-0,02"
12/07/2020,"117,77","0,00"
01/08/2020,"112,67","-0,04"
04/08/2020,"115,81","0,03"
05/08/2020,"116,46","0,01"
06/08/2020,"117,03","0,00"
07/08/2020,"118,32","0,01"
08/08/2020,"119,43","0,01"
09/08/2020,"118,23","-0,01"
10/08/2020,"117,69","0,00"
12/08/2020,"117,78","0,00"
01/09/2020,"112,79","-0,04"
03/09/2020,"117,71","0,04"
04/09/2020,"117,25","0,00"
05/09/2020,"116,46","-0,01"
06/09/2020,"117,18","0,01"
07/09/2020,"118,63","0,01"
08/09/2020,"119,43","0,01"
09/09/2020,"118,22","-0,01"
10/09/2020,"117,72","0,00"
11/09/2020,"117,25","0,00"
12/09/2020,"117,61","0,00"
01/10/2020,"112,98","-0,04"
02/10/2020,"114,35","0,01"
03/10/2020,"116,38","0,02"
05/10/2020,"116,46","0,00"
06/10/2020,"117,66","0,01"
07/10/2020,"118,49","0,01"
08/10/2020,"119,32","0,01"
09/10/2020,"118,23","-0,01"
11/10/2020,"117,06","-0,01"
12/10/2020,"117,90","0,01"
02/11/2020,"114,21","-0,03"
03/11/2020,"114,72","0,00"
05/11/2020,"116,11","0,01"
06/11/2020,"117,46","0,01"
07/11/2020,"118,49","0,01"
08/11/2020,"118,99","0,00"
09/11/2020,"118,37","-0,01"
11/11/2020,"117,13","-0,01"
12/11/2020,"118,03","0,01"
02/12/2020,"114,09","-0,03"
03/12/2020,"110,13","-0,03"
05/12/2020,"116,41","0,06"
06/12/2020,"117,58","0,01"
07/12/2020,"118,49","0,01"
08/12/2020,"118,75","0,00"
10/12/2020,"117,95","-0,01"
11/12/2020,"117,62","0,00"
02/01/2021,"117,23","0,00"
03/01/2021,"115,09","-0,02"
04/01/2021,"114,04","-0,01"
06/01/2021,"114,33","0,00"
07/01/2021,"115,11","0,01"
09/01/2021,"115,93","0,01"
10/01/2021,"115,00","-0,01"
11/01/2021,"114,39","-0,01"
12/01/2021,"114,63","0,00"
02/02/2021,"117,05","0,02"
03/02/2021,"115,11","-0,02"
06/02/2021,"114,48","-0,01"
07/02/2021,"115,36","0,01"
08/02/2021,"116,54","0,01"
09/02/2021,"116,05","0,00"
11/02/2021,"114,62","-0,01"
12/02/2021,"114,61","0,00"
