"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","99.88","100.02","100.12","99.88","13.54M","-0.24%"
"12/30/2025","100.12","100.06","100.18","100.03","7.96M","-0.04%"
"12/29/2025","100.16","100.12","100.19","100.06","7.89M","0.12%"
"12/26/2025","100.04","100.13","100.15","99.97","6.50M","0.02%"
"12/24/2025","100.02","99.90","100.04","99.85","4.48M","0.22%"
"12/23/2025","99.80","99.60","99.82","99.58","9.74M","0.00%"
"12/22/2025","99.80","99.82","99.83","99.74","6.18M","-0.04%"
"12/19/2025","99.84","99.89","99.95","99.80","6.22M","-0.48%"
"12/18/2025","100.32","100.32","100.37","100.21","8.19M","0.25%"
"12/17/2025","100.07","100.03","100.14","100.01","12.01M","-0.03%"
"12/16/2025","100.10","99.87","100.15","99.86","8.61M","0.19%"
"12/15/2025","99.91","100.01","100.08","99.88","9.96M","0.10%"
"12/12/2025","99.81","99.84","99.92","99.78","7.59M","-0.31%"
"12/11/2025","100.12","100.32","100.35","100.08","9.96M","0.02%"
"12/10/2025","100.10","99.77","100.13","99.76","9.28M","0.32%"
"12/09/2025","99.78","100.04","100.04","99.77","5.97M","-0.09%"
"12/08/2025","99.87","100.02","100.03","99.74","8.04M","-0.16%"
"12/05/2025","100.03","100.17","100.17","99.96","6.87M","-0.11%"
"12/04/2025","100.14","100.25","100.31","100.11","6.95M","-0.24%"
"12/03/2025","100.38","100.30","100.39","100.21","9.74M","0.19%"
"12/02/2025","100.19","100.07","100.22","100.04","7.97M","0.13%"
"12/01/2025","100.06","100.07","100.14","100.02","7.25M","-0.75%"
"11/28/2025","100.82","100.91","100.94","100.70","5.06M","-0.14%"
"11/26/2025","100.96","100.78","100.97","100.66","8.94M","0.16%"
"11/25/2025","100.80","100.71","100.95","100.70","16.79M","0.16%"
"11/24/2025","100.64","100.51","100.66","100.50","7.72M","0.20%"
"11/21/2025","100.44","100.45","100.50","100.28","9.33M","0.24%"
"11/20/2025","100.20","100.18","100.28","100.14","12.97M","0.12%"
"11/19/2025","100.08","100.20","100.25","100.03","8.95M","0.00%"
