Date,Price,Return
04/01/2020,"60,23",
05/01/2020,"72,27","0,20"
06/01/2020,"80,46","0,11"
07/01/2020,"91,03","0,13"
09/01/2020,"134,18","0,47"
10/01/2020,"116,79","-0,13"
12/01/2020,"122,72","0,05"
01/02/2020,"75,09","-0,39"
03/02/2020,"74,70","-0,01"
04/02/2020,"61,23","-0,18"
06/02/2020,"80,83","0,32"
07/02/2020,"91,03","0,13"
09/02/2020,"131,40","0,44"
10/02/2020,"113,02","-0,14"
11/02/2020,"108,77","-0,04"
12/02/2020,"123,08","0,13"
01/03/2020,"74,36","-0,40"
02/03/2020,"77,17","0,04"
03/03/2020,"72,33","-0,06"
04/03/2020,"60,35","-0,17"
06/03/2020,"81,28","0,35"
08/03/2020,"108,94","0,34"
09/03/2020,"120,88","0,11"
11/03/2020,"110,44","-0,09"
12/03/2020,"122,94","0,11"
02/04/2020,"79,71","-0,35"
03/04/2020,"75,68","-0,05"
05/04/2020,"73,29","-0,03"
06/04/2020,"80,58","0,10"
08/04/2020,"109,67","0,36"
09/04/2020,"120,96","0,10"
11/04/2020,"114,95","-0,05"
12/04/2020,"122,25","0,06"
02/05/2020,"80,36","-0,34"
03/05/2020,"73,23","-0,09"
05/05/2020,"74,39","0,02"
06/05/2020,"82,88","0,11"
08/05/2020,"110,06","0,33"
10/05/2020,"116,50","0,06"
11/05/2020,"119,03","0,02"
01/06/2020,"74,95","-0,37"
02/06/2020,"81,30","0,08"
03/06/2020,"72,26","-0,11"
04/06/2020,"65,62","-0,09"
05/06/2020,"75,16","0,15"
07/06/2020,"93,46","0,24"
08/06/2020,"113,90","0,22"
10/06/2020,"113,16","-0,01"
11/06/2020,"118,69","0,05"
01/07/2020,"74,60","-0,37"
02/07/2020,"80,01","0,07"
04/07/2020,"64,86","-0,19"
05/07/2020,"75,93","0,17"
07/07/2020,"93,17","0,23"
08/07/2020,"111,11","0,19"
10/07/2020,"115,08","0,04"
12/07/2020,"123,75","0,08"
01/08/2020,"75,80","-0,39"
04/08/2020,"66,52","-0,12"
05/08/2020,"77,53","0,17"
06/08/2020,"83,36","0,08"
07/08/2020,"95,34","0,14"
09/08/2020,"112,82","0,18"
10/08/2020,"114,97","0,02"
12/08/2020,"124,38","0,08"
01/09/2020,"77,41","-0,38"
03/09/2020,"66,54","-0,14"
04/09/2020,"67,00","0,01"
06/09/2020,"86,00","0,28"
07/09/2020,"95,68","0,11"
09/09/2020,"117,32","0,23"
10/09/2020,"116,97","0,00"
11/09/2020,"116,32","-0,01"
12/09/2020,"121,78","0,05"
01/10/2020,"77,58","-0,36"
02/10/2020,"80,39","0,04"
03/10/2020,"71,33","-0,11"
06/10/2020,"88,21","0,24"
07/10/2020,"95,92","0,09"
08/10/2020,"112,73","0,18"
09/10/2020,"113,49","0,01"
11/10/2020,"115,97","0,02"
12/10/2020,"123,24","0,06"
02/11/2020,"79,90","-0,35"
03/11/2020,"68,86","-0,14"
05/11/2020,"78,75","0,14"
06/11/2020,"83,97","0,07"
08/11/2020,"109,38","0,30"
09/11/2020,"112,00","0,02"
11/11/2020,"119,49","0,07"
12/11/2020,"122,41","0,02"
02/12/2020,"81,80","-0,33"
03/12/2020,"62,06","-0,24"
05/12/2020,"77,85","0,25"
06/12/2020,"84,70","0,09"
08/12/2020,"113,01","0,33"
10/12/2020,"124,40","0,10"
11/12/2020,"119,21","-0,04"
02/01/2021,"134,14","0,13"
03/01/2021,"127,79","-0,05"
