Date,Price,Return
01/01/2020,"1,12",
04/01/2020,"1,10",12.1899
05/01/2020,"1,10",12.1899
06/01/2020,"1,11",12.1899
07/01/2020,"1,13",12.1899
09/01/2020,"1,19",12.1899
10/01/2020,"1,17",12.1899
12/01/2020,"1,21",12.1899
01/02/2020,"1,12",12.1899
03/02/2020,"1,11",12.1899
04/02/2020,"1,09",12.1899
06/02/2020,"1,12",12.1899
07/02/2020,"1,12",12.1899
09/02/2020,"1,19",12.1899
10/02/2020,"1,17",12.1899
11/02/2020,"1,16",12.1899
12/02/2020,"1,21",12.1899
01/03/2020,"1,12",12.1899
02/03/2020,"1,11",12.1899
03/03/2020,"1,12",12.1899
04/03/2020,"1,08",12.1899
06/03/2020,"1,12",12.1899
07/03/2020,"1,12",12.1899
08/03/2020,"1,18",12.1899
09/03/2020,"1,18",12.1899
11/03/2020,"1,17",12.1899
12/03/2020,"1,21",12.1899
02/04/2020,"1,10",12.1899
03/04/2020,"1,11",12.1899
05/04/2020,"1,09",12.1899
06/04/2020,"1,13",12.1899
08/04/2020,"1,18",12.1899
09/04/2020,"1,18",12.1899
11/04/2020,"1,17",12.1899
12/04/2020,"1,21",12.1899
02/05/2020,"1,10",12.1899
03/05/2020,"1,12",12.1899
05/05/2020,"1,08",12.1899
06/05/2020,"1,13",12.1899
08/05/2020,"1,19",12.1899
10/05/2020,"1,18",12.1899
11/05/2020,"1,18",12.1899
01/06/2020,"1,12",12.1899
02/06/2020,"1,10",12.1899
03/06/2020,"1,13",12.1899
04/06/2020,"1,08",12.1899
05/06/2020,"1,08",12.1899
07/06/2020,"1,13",12.1899
08/06/2020,"1,19",12.1899
10/06/2020,"1,17",12.1899
11/06/2020,"1,19",12.1899
01/07/2020,"1,12",12.1899
02/07/2020,"1,09",12.1899
04/07/2020,"1,09",12.1899
05/07/2020,"1,08",12.1899
07/07/2020,"1,13",12.1899
08/07/2020,"1,18",12.1899
09/07/2020,"1,18",12.1899
10/07/2020,"1,18",12.1899
12/07/2020,"1,21",12.1899
01/08/2020,"1,11",12.1899
04/08/2020,"1,09",12.1899
05/08/2020,"1,08",12.1899
06/08/2020,"1,13",12.1899
07/08/2020,"1,13",12.1899
09/08/2020,"1,18",12.1899
10/08/2020,"1,18",12.1899
12/08/2020,"1,21",12.1899
01/09/2020,"1,11",12.1899
03/09/2020,"1,14",12.1899
04/09/2020,"1,09",12.1899
06/09/2020,"1,13",12.1899
07/09/2020,"1,13",12.1899
09/09/2020,"1,18",12.1899
10/09/2020,"1,18",12.1899
11/09/2020,"1,18",12.1899
12/09/2020,"1,21",12.1899
01/10/2020,"1,11",12.1899
02/10/2020,"1,09",12.1899
03/10/2020,"1,13",12.1899
04/10/2020,"1,09",12.1899
06/10/2020,"1,14",12.1899
07/10/2020,"1,13",12.1899
08/10/2020,"1,17",12.1899
09/10/2020,"1,18",12.1899
11/10/2020,"1,18",12.1899
12/10/2020,"1,21",12.1899
02/11/2020,"1,09",12.1899
03/11/2020,"1,13",12.1899
05/11/2020,"1,08",12.1899
06/11/2020,"1,13",12.1899
08/11/2020,"1,17",12.1899
09/11/2020,"1,18",12.1899
11/11/2020,"1,18",12.1899
12/11/2020,"1,21",12.1899
02/12/2020,"1,09",12.1899
03/12/2020,"1,12",12.1899
05/12/2020,"1,08",12.1899
06/12/2020,"1,13",12.1899
08/12/2020,"1,18",12.1899
10/12/2020,"1,18",12.1899
11/12/2020,"1,18",12.1899
01/01/2021,"1,22",12.1899
02/01/2021,"1,21",12.1899
03/01/2021,"1,20",12.1899
04/01/2021,"1,18",12.1899
06/01/2021,"1,22",12.1899
07/01/2021,"1,18",12.1899
09/01/2021,"1,18",12.1899
10/01/2021,"1,16",12.1899
11/01/2021,"1,16",12.1899
12/01/2021,"1,13",12.1899
02/02/2021,"1,20",12.1899
03/02/2021,"1,21",12.1899
04/02/2021,"1,18",12.1899
06/02/2021,"1,22",12.1899
07/02/2021,"1,19",12.1899
