Date,Price,Return
04/01/2020,"152,11",
05/01/2020,"174,57","0,15"
06/01/2020,"182,83","0,05"
07/01/2020,"204,70","0,12"
09/01/2020,"227,27","0,11"
10/01/2020,"212,46","-0,07"
12/01/2020,"216,21","0,02"
01/02/2020,"160,62","-0,26"
03/02/2020,"172,79","0,08"
04/02/2020,"155,26","-0,10"
06/02/2020,"184,91","0,19"
07/02/2020,"206,26","0,12"
09/02/2020,"231,65","0,12"
10/02/2020,"206,19","-0,11"
11/02/2020,"202,33","-0,02"
12/02/2020,"215,37","0,06"
01/03/2020,"158,62","-0,26"
02/03/2020,"174,38","0,10"
03/03/2020,"164,51","-0,06"
04/03/2020,"153,83","-0,06"
06/03/2020,"185,36","0,20"
08/03/2020,"216,54","0,17"
09/03/2020,"217,30","0,00"
11/03/2020,"206,43","-0,05"
12/03/2020,"214,24","0,04"
02/04/2020,"180,12","-0,16"
03/04/2020,"170,55","-0,05"
05/04/2020,"178,84","0,05"
06/04/2020,"182,92","0,02"
08/04/2020,"213,29","0,17"
09/04/2020,"214,25","0,00"
11/04/2020,"216,39","0,01"
12/04/2020,"214,36","-0,01"
02/05/2020,"179,90","-0,16"
03/05/2020,"166,27","-0,08"
05/05/2020,"180,76","0,09"
06/05/2020,"187,20","0,04"
08/05/2020,"212,94","0,14"
10/05/2020,"210,38","-0,01"
11/05/2020,"223,29","0,06"
01/06/2020,"159,03","-0,29"
02/06/2020,"183,63","0,15"
03/06/2020,"161,57","-0,12"
04/06/2020,"165,27","0,02"
05/06/2020,"182,54","0,10"
07/06/2020,"210,70","0,15"
08/06/2020,"216,35","0,03"
10/06/2020,"205,91","-0,05"
11/06/2020,"223,72","0,09"
01/07/2020,"157,58","-0,30"
02/07/2020,"183,89","0,17"
04/07/2020,"163,49","-0,11"
05/07/2020,"183,60","0,12"
07/07/2020,"208,25","0,13"
08/07/2020,"212,48","0,02"
10/07/2020,"209,83","-0,01"
12/07/2020,"214,29","0,02"
01/08/2020,"160,09","-0,25"
04/08/2020,"165,13","0,03"
05/08/2020,"184,68","0,12"
06/08/2020,"188,36","0,02"
07/08/2020,"212,83","0,13"
09/08/2020,"202,66","-0,05"
10/08/2020,"210,58","0,04"
12/08/2020,"216,01","0,03"
01/09/2020,"162,09","-0,25"
03/09/2020,"150,62","-0,07"
04/09/2020,"165,14","0,10"
06/09/2020,"189,80","0,15"
07/09/2020,"214,32","0,13"
09/09/2020,"211,29","-0,01"
10/09/2020,"215,81","0,02"
11/09/2020,"218,39","0,01"
12/09/2020,"211,80","-0,03"
01/10/2020,"161,34","-0,24"
02/10/2020,"188,70","0,17"
03/10/2020,"160,92","-0,15"
06/10/2020,"196,84","0,22"
07/10/2020,"213,67","0,09"
08/10/2020,"208,25","-0,03"
09/10/2020,"205,37","-0,01"
11/10/2020,"211,01","0,03"
12/10/2020,"210,52","0,00"
02/11/2020,"184,44","-0,12"
03/11/2020,"153,63","-0,17"
05/11/2020,"186,74","0,22"
06/11/2020,"186,27","0,00"
08/11/2020,"203,38","0,09"
09/11/2020,"204,03","0,00"
11/11/2020,"216,55","0,06"
12/11/2020,"213,26","-0,02"
02/12/2020,"184,71","-0,13"
03/12/2020,"139,06","-0,25"
05/12/2020,"182,51","0,31"
06/12/2020,"187,74","0,03"
08/12/2020,"209,19","0,11"
10/12/2020,"221,40","0,06"
11/12/2020,"215,44","-0,03"
02/01/2021,"239,65","0,11"
03/01/2021,"236,94","-0,01"
04/01/2021,"242,35","0,02"
06/01/2021,"247,40","0,02"
07/01/2021,"271,60","0,10"
09/01/2021,"301,83","0,11"
10/01/2021,"289,10","-0,04"
11/01/2021,"329,37","0,14"
12/01/2021,"330,08","0,00"
02/02/2021,"239,51","-0,27"
03/02/2021,"233,87","-0,02"
06/02/2021,"247,30","0,06"
07/02/2021,"277,65","0,12"
08/02/2021,"284,82","0,03"
09/02/2021,"301,15","0,06"
11/02/2021,"333,13","0,11"
12/02/2021,"329,49","-0,01"
02/03/2021,"243,00","-0,26"
03/03/2021,"227,56","-0,06"
05/03/2021,"251,86","0,11"
06/03/2021,"245,71","-0,02"
08/03/2021,"287,12","0,17"
09/03/2021,"301,14","0,05"
11/03/2021,"334,00","0,11"
12/03/2021,"323,01","-0,03"
01/04/2021,"217,69","-0,33"
02/04/2021,"242,01","0,11"
03/04/2021,"226,73","-0,06"
05/04/2021,"247,79","0,09"
06/04/2021,"250,79","0,01"
08/04/2021,"286,51","0,14"
10/04/2021,"283,11","-0,01"
11/04/2021,"336,44","0,19"
01/05/2021,"217,90","-0,35"
02/05/2021,"242,20","0,11"
03/05/2021,"231,60","-0,04"
04/05/2021,"249,07","0,08"
05/05/2021,"246,47","-0,01"
08/05/2021,"289,52","0,17"
10/05/2021,"288,76","0,00"
11/05/2021,"336,06","0,16"
01/06/2021,"212,25","-0,37"
04/06/2021,"247,86","0,17"
05/06/2021,"249,73","0,01"
07/06/2021,"277,66","0,11"
08/06/2021,"289,46","0,04"
10/06/2021,"293,11","0,01"
12/06/2021,"326,19","0,11"
01/07/2021,"218,29","-0,33"
04/07/2021,"249,90","0,14"
05/07/2021,"252,46","0,01"
06/07/2021,"253,81","0,01"
07/07/2021,"279,93","0,10"
09/07/2021,"300,18","0,07"
10/07/2021,"294,85","-0,02"
12/07/2021,"334,92","0,14"
01/08/2021,"219,62","-0,34"
02/08/2021,"242,47","0,10"
03/08/2021,"227,39","-0,06"
04/08/2021,"253,25","0,11"
06/08/2021,"252,57","0,00"
07/08/2021,"277,42","0,10"
09/08/2021,"300,21","0,08"
10/08/2021,"294,85","-0,02"
11/08/2021,"336,99","0,14"
12/08/2021,"334,97","-0,01"
02/09/2021,"243,77","-0,27"
03/09/2021,"233,78","-0,04"
04/09/2021,"255,85","0,09"
06/09/2021,"253,59","-0,01"
07/09/2021,"277,94","0,10"
08/09/2021,"288,33","0,04"
09/09/2021,"297,25","0,03"
11/09/2021,"335,95","0,13"
12/09/2021,"333,10","-0,01"
02/10/2021,"242,82","-0,27"
03/10/2021,"232,42","-0,04"
05/10/2021,"247,18","0,06"
06/10/2021,"257,24","0,04"
08/10/2021,"286,44","0,11"
09/10/2021,"295,71","0,03"
11/10/2021,"330,80","0,12"
12/10/2021,"342,54","0,04"
01/11/2021,"217,49","-0,37"
02/11/2021,"244,49","0,12"
03/11/2021,"237,13","-0,03"
05/11/2021,"246,23","0,04"
06/11/2021,"257,89","0,05"
08/11/2021,"286,95","0,11"
10/11/2021,"294,23","0,03"
11/11/2021,"332,43","0,13"
01/12/2021,"214,93","-0,35"
02/12/2021,"244,99","0,14"
03/12/2021,"235,75","-0,04"
04/12/2021,"255,91","0,09"
05/12/2021,"239,00","-0,07"
07/12/2021,"277,32","0,16"
08/12/2021,"289,81","0,05"
10/12/2021,"292,88","0,01"
11/12/2021,"336,72","0,15"
02/01/2022,"308,76","-0,08"
03/01/2022,"294,95","-0,04"
04/01/2022,"309,42","0,05"
06/01/2022,"272,42","-0,12"
07/01/2022,"259,58","-0,05"
08/01/2022,"278,01","0,07"
09/01/2022,"260,40","-0,06"
11/01/2022,"228,17","-0,12"
12/01/2022,"254,69","0,12"
02/02/2022,"313,46","0,23"
03/02/2022,"300,19","-0,04"
05/02/2022,"284,47","-0,05"
06/02/2022,"274,58","-0,03"
08/02/2022,"274,82","0,00"
09/02/2022,"256,06","-0,07"
11/02/2022,"220,10","-0,14"
12/02/2022,"255,02","0,16"
01/03/2022,"334,75","0,31"
02/03/2022,"301,25","-0,10"
03/03/2022,"295,92","-0,02"
05/03/2022,"281,78","-0,05"
06/03/2022,"270,02","-0,04"
08/03/2022,"282,47","0,05"
10/03/2022,"240,74","-0,15"
11/03/2022,"214,25","-0,11"
01/04/2022,"329,01","0,54"
02/04/2022,"305,94","-0,07"
03/04/2022,"289,86","-0,05"
04/04/2022,"314,97","0,09"
05/04/2022,"289,98","-0,08"
08/04/2022,"283,65","-0,02"
10/04/2022,"248,88","-0,12"
11/04/2022,"221,39","-0,11"
01/05/2022,"316,38","0,43"
04/05/2022,"310,88","-0,02"
05/05/2022,"277,35","-0,11"
07/05/2022,"262,85","-0,05"
08/05/2022,"282,91","0,08"
10/05/2022,"249,20","-0,12"
12/05/2022,"250,20","0,00"
01/06/2022,"313,88","0,25"
04/06/2022,"299,50","-0,05"
05/06/2022,"274,73","-0,08"
06/06/2022,"268,75","-0,02"
07/06/2022,"266,21","-0,01"
09/06/2022,"253,25","-0,05"
10/06/2022,"246,79","-0,03"
12/06/2022,"245,12","-0,01"
01/07/2022,"314,04","0,28"
02/07/2022,"300,95","-0,04"
03/07/2022,"278,91","-0,07"
04/07/2022,"301,37","0,08"
06/07/2022,"272,50","-0,10"
07/07/2022,"268,40","-0,02"
09/07/2022,"258,09","-0,04"
10/07/2022,"234,24","-0,09"
11/07/2022,"227,87","-0,03"
12/07/2022,"244,37","0,07"
02/08/2022,"304,56","0,25"
03/08/2022,"275,85","-0,09"
04/08/2022,"296,97","0,08"
06/08/2022,"270,41","-0,09"
07/08/2022,"267,66","-0,01"
08/08/2022,"280,32","0,05"
09/08/2022,"258,52","-0,08"
11/08/2022,"228,87","-0,11"
12/08/2022,"247,40","0,08"
02/09/2022,"311,21","0,26"
03/09/2022,"288,50","-0,07"
05/09/2022,"264,58","-0,08"
06/09/2022,"264,79","0,00"
08/09/2022,"282,30","0,07"
09/09/2022,"264,46","-0,06"
11/09/2022,"224,51","-0,15"
12/09/2022,"245,42","0,09"
01/10/2022,"314,27","0,28"
02/10/2022,"302,38","-0,04"
03/10/2022,"285,59","-0,06"
05/10/2022,"269,50","-0,06"
06/10/2022,"252,99","-0,06"
08/10/2022,"289,16","0,14"
10/10/2022,"229,25","-0,21"
11/10/2022,"242,98","0,06"
01/11/2022,"314,98","0,30"
02/11/2022,"295,04","-0,06"
03/11/2022,"280,07","-0,05"
04/11/2022,"285,26","0,02"
05/11/2022,"260,55","-0,09"
07/11/2022,"264,51","0,02"
08/11/2022,"287,02","0,09"
10/11/2022,"225,41","-0,21"
11/11/2022,"247,11","0,10"
01/12/2022,"318,27","0,29"
04/12/2022,"282,06","-0,11"
05/12/2022,"255,35","-0,09"
07/12/2022,"253,67","-0,01"
08/12/2022,"291,91","0,15"
09/12/2022,"266,65","-0,09"
10/12/2022,"225,75","-0,15"
12/12/2022,"252,51","0,12"
02/01/2023,"252,75","0,00"
03/01/2023,"246,27","-0,03"
05/01/2023,"305,56","0,24"
06/01/2023,"332,58","0,09"
08/01/2023,"336,34","0,01"
09/01/2023,"328,66","-0,02"
11/01/2023,"346,07","0,05"
12/01/2023,"374,51","0,08"
02/02/2023,"264,60","-0,29"
03/02/2023,"251,11","-0,05"
05/02/2023,"305,41","0,22"
06/02/2023,"335,40","0,10"
08/02/2023,"327,50","-0,02"
10/02/2023,"321,80","-0,02"
