Date,Price,Return
04/01/2020,"4.624.000,00",
05/01/2020,"4.621.000,00","0,00"
06/01/2020,"881,00","-1,00"
07/01/2020,"953,00","0,08"
09/01/2020,"1.382,00","0,45"
10/01/2020,"1.361,00","-0,02"
12/01/2020,"1.339,00","-0,02"
01/02/2020,"600,00","-0,55"
03/02/2020,"691,00","0,15"
04/02/2020,"639,00","-0,08"
06/02/2020,"883,00","0,38"
07/02/2020,"961,00","0,09"
09/02/2020,"1.435,00","0,49"
10/02/2020,"4.618.600,00","3217,54"
11/02/2020,"1.258,00","-1,00"
12/02/2020,"1.354,00","0,08"
01/03/2020,"590,00","-0,56"
02/03/2020,"4.602.800,00","7800,36"
03/03/2020,"665,00","-1,00"
04/03/2020,"4.630.100,00","6961,56"
06/03/2020,"877,00","-1,00"
08/03/2020,"4.603.300,00","5247,92"
09/03/2020,"4.606.600,00","0,00"
11/03/2020,"4.606.600,00","0,00"
12/03/2020,"1.340,00","-1,00"
02/04/2020,"618,00","-0,54"
03/04/2020,"4.633.300,00","7496,25"
05/04/2020,"728,00","-1,00"
06/04/2020,"877,00","0,20"
08/04/2020,"1.123,00","0,28"
09/04/2020,"1.262,00","0,12"
11/04/2020,"1.379,00","0,09"
12/04/2020,"1.356,00","-0,02"
02/05/2020,"627,00","-0,54"
03/05/2020,"683,00","0,09"
05/05/2020,"734,00","0,07"
06/05/2020,"892,00","0,22"
08/05/2020,"1.129,00","0,27"
10/05/2020,"1.364,00","0,21"
11/05/2020,"1.416,00","0,04"
01/06/2020,"593,00","-0,58"
02/06/2020,"636,00","0,07"
03/06/2020,"665,00","0,05"
04/06/2020,"671,00","0,01"
05/06/2020,"744,00","0,11"
07/06/2020,"984,00","0,32"
08/06/2020,"1.134,00","0,15"
10/06/2020,"1.374,00","0,21"
11/06/2020,"1.456,00","0,06"
01/07/2020,"600,00","-0,59"
02/07/2020,"629,00","0,05"
04/07/2020,"648,00","0,03"
05/07/2020,"762,00","0,18"
07/07/2020,"987,00","0,30"
08/07/2020,"1.120,00","0,13"
10/07/2020,"1.396,00","0,25"
12/07/2020,"1.361,00","-0,03"
01/08/2020,"4.602.800,00","3380,93"
04/08/2020,"667,00","-1,00"
05/08/2020,"781,00","0,17"
06/08/2020,"880,00","0,13"
07/08/2020,"1.022,00","0,16"
09/08/2020,"1.191,00","0,17"
10/08/2020,"1.384,00","0,16"
12/08/2020,"1.335,00","-0,04"
01/09/2020,"4.624.000,00","3462,67"
03/09/2020,"614,00","-1,00"
04/09/2020,"657,00","0,07"
06/09/2020,"4.615.100,00","7023,51"
07/09/2020,"1.051,00","-1,00"
09/09/2020,"1.271,00","0,21"
10/09/2020,"1.376,00","0,08"
11/09/2020,"1.363,00","-0,01"
12/09/2020,"1.293,00","-0,05"
01/10/2020,"4.633.200,00","3582,29"
02/10/2020,"657,00","-1,00"
03/10/2020,"653,00","-0,01"
06/10/2020,"937,00","0,43"
07/10/2020,"1.048,00","0,12"
08/10/2020,"1.116,00","0,06"
09/10/2020,"1.231,00","0,10"
11/10/2020,"1.277,00","0,04"
12/10/2020,"1.297,00","0,02"
02/11/2020,"670,00","-0,48"
03/11/2020,"616,00","-0,08"
05/11/2020,"4.621.100,00","7500,79"
06/11/2020,"880,00","-1,00"
08/11/2020,"1.085,00","0,23"
09/11/2020,"1.216,00","0,12"
11/11/2020,"1.342,00","0,10"
12/11/2020,"4.603.500,00","3429,33"
02/12/2020,"681,00","-1,00"
03/12/2020,"541,00","-0,21"
05/12/2020,"780,00","0,44"
06/12/2020,"893,00","0,14"
08/12/2020,"1.144,00","0,28"
10/12/2020,"1.423,00","0,24"
11/12/2020,"1.346,00","-0,05"
02/01/2021,"1.324,00","-0,02"
03/01/2021,"1.384,00","0,05"
04/01/2021,"1.381,00","0,00"
06/01/2021,"1.626,00","0,18"
07/01/2021,"2.021,00","0,24"
09/01/2021,"2.244,00","0,11"
10/01/2021,"2.074,00","-0,08"
11/01/2021,"2.583,00","0,25"
12/01/2021,"3.143,00","0,22"
02/02/2021,"1.356,00","-0,57"
03/02/2021,"1.341,00","-0,01"
06/02/2021,"1.678,00","0,25"
07/02/2021,"2.049,00","0,22"
08/02/2021,"1.975,00","-0,04"
09/02/2021,"2.240,00","0,13"
11/02/2021,"2.640,00","0,18"
12/02/2021,"3.213,00","0,22"
02/03/2021,"1.353,00","-0,58"
03/03/2021,"1.280,00","-0,05"
05/03/2021,"1.484,00","0,16"
06/03/2021,"1.697,00","0,14"
08/03/2021,"1.982,00","0,17"
09/03/2021,"2.284,00","0,15"
11/03/2021,"2.660,00","0,16"
12/03/2021,"3.069,00","0,15"
01/04/2021,"4.633.900,00","1508,91"
02/04/2021,"1.366,00","-1,00"
03/04/2021,"1.237,00","-0,09"
05/04/2021,"1.435,00","0,16"
06/04/2021,"1.758,00","0,23"
08/04/2021,"2.027,00","0,15"
10/04/2021,"1.973,00","-0,03"
11/04/2021,"2.980,00","0,51"
01/05/2021,"1.340,00","-0,55"
02/05/2021,"1.359,00","0,01"
03/05/2021,"1.246,00","-0,08"
04/05/2021,"1.399,00","0,12"
05/05/2021,"1.446,00","0,03"
08/05/2021,"2.064,00","0,43"
10/05/2021,"2.045,00","-0,01"
11/05/2021,"2.975,00","0,45"
01/06/2021,"1.261,00","-0,58"
04/06/2021,"1.386,00","0,10"
05/06/2021,"1.452,00","0,05"
07/06/2021,"2.070,00","0,43"
08/06/2021,"2.037,00","-0,02"
10/06/2021,"2.070,00","0,02"
12/06/2021,"4.614.200,00","2228,08"
01/07/2021,"1.334,00","-1,00"
04/07/2021,"1.414,00","0,06"
05/07/2021,"1.481,00","0,05"
06/07/2021,"1.762,00","0,19"
07/07/2021,"2.037,00","0,16"
09/07/2021,"2.266,00","0,11"
10/07/2021,"4.622.400,00","2038,89"
12/07/2021,"3.243,00","-1,00"
01/08/2021,"1.328,00","-0,59"
02/08/2021,"1.444,00","0,09"
03/08/2021,"1.159,00","-0,20"
04/08/2021,"1.432,00","0,24"
06/08/2021,"1.746,00","0,22"
07/08/2021,"1.990,00","0,14"
09/08/2021,"2.234,00","0,12"
10/08/2021,"2.083,00","-0,07"
11/08/2021,"3.080,00","0,48"
12/08/2021,"3.183,00","0,03"
02/09/2021,"1.426,00","-0,55"
03/09/2021,"1.252,00","-0,12"
04/09/2021,"1.440,00","0,15"
06/09/2021,"1.736,00","0,21"
07/09/2021,"4.616.200,00","2658,10"
08/09/2021,"2.030,00","-1,00"
09/09/2021,"2.218,00","0,09"
11/09/2021,"3.066,00","0,38"
12/09/2021,"3.049,00","-0,01"
02/10/2021,"1.476,00","-0,52"
03/10/2021,"1.247,00","-0,16"
05/10/2021,"1.427,00","0,14"
06/10/2021,"1.743,00","0,22"
08/10/2021,"1.994,00","0,14"
09/10/2021,"2.248,00","0,13"
11/10/2021,"2.946,00","0,31"
12/10/2021,"3.020,00","0,03"
01/11/2021,"1.362,00","-0,55"
02/11/2021,"1.525,00","0,12"
03/11/2021,"1.299,00","-0,15"
05/11/2021,"1.431,00","0,10"
06/11/2021,"1.783,00","0,25"
08/11/2021,"1.970,00","0,10"
10/11/2021,"2.070,00","0,05"
11/11/2021,"3.039,00","0,47"
01/12/2021,"1.348,00","-0,56"
02/12/2021,"1.496,00","0,11"
03/12/2021,"1.286,00","-0,14"
04/12/2021,"1.521,00","0,18"
05/12/2021,"1.376,00","-0,10"
07/12/2021,"2.051,00","0,49"
08/12/2021,"1.991,00","-0,03"
10/12/2021,"2.067,00","0,04"
